frame = 001, error = 0.019541, current_knob = 0.000200, set_point = 0.020000
frame = 002, error = 0.018121, current_knob = 0.000200, set_point = 0.020000
frame = 003, error = 0.022145, current_knob = 0.000200, set_point = 0.020000
frame = 004, error = 0.021238, current_knob = 0.000200, set_point = 0.020000
frame = 005, error = 0.017608, current_knob = 0.000200, set_point = 0.020000
frame = 006, error = 0.022767, current_knob = 0.000200, set_point = 0.020000
frame = 007, error = 0.019896, current_knob = 0.000200, set_point = 0.020000
frame = 008, error = 0.011709, current_knob = 0.000200, set_point = 0.020000
frame = 009, error = 0.029011, current_knob = 0.000200, set_point = 0.020000
frame = 010, error = 0.012084, current_knob = 0.000200, set_point = 0.020000
frame = 011, error = 0.010959, current_knob = 0.000200, set_point = 0.020000
frame = 012, error = 0.011620, current_knob = 0.000200, set_point = 0.020000
frame = 013, error = 0.012626, current_knob = 0.000200, set_point = 0.020000
frame = 014, error = 0.012015, current_knob = 0.000200, set_point = 0.020000
frame = 015, error = 0.020311, current_knob = 0.000200, set_point = 0.020000
frame = 016, error = 0.015171, current_knob = 0.000200, set_point = 0.020000
frame = 017, error = 0.016621, current_knob = 0.000200, set_point = 0.020000
frame = 018, error = 0.017095, current_knob = 0.000200, set_point = 0.020000
frame = 019, error = 0.014106, current_knob = 0.000200, set_point = 0.020000
frame = 020, error = 0.013534, current_knob = 0.000200, set_point = 0.020000
frame = 021, error = 0.021257, current_knob = 0.000200, set_point = 0.020000
frame = 022, error = 0.018357, current_knob = 0.000200, set_point = 0.020000
frame = 023, error = 0.017558, current_knob = 0.000200, set_point = 0.020000
frame = 024, error = 0.024325, current_knob = 0.000200, set_point = 0.020000
frame = 025, error = 0.031220, current_knob = 0.000200, set_point = 0.020000
frame = 026, error = 0.021899, current_knob = 0.000200, set_point = 0.020000
frame = 027, error = 0.025618, current_knob = 0.000200, set_point = 0.020000
frame = 028, error = 0.021494, current_knob = 0.000200, set_point = 0.020000
frame = 029, error = 0.022954, current_knob = 0.000200, set_point = 0.020000
frame = 030, error = 0.019955, current_knob = 0.000200, set_point = 0.020000
frame = 031, error = 0.020103, current_knob = 0.000200, set_point = 0.020000
frame = 032, error = 0.019640, current_knob = 0.000200, set_point = 0.020000
frame = 033, error = 0.012301, current_knob = 0.000200, set_point = 0.020000
frame = 034, error = 0.011561, current_knob = 0.000200, set_point = 0.020000
frame = 035, error = 0.010239, current_knob = 0.000200, set_point = 0.020000
frame = 036, error = 0.006441, current_knob = 0.000200, set_point = 0.020000
frame = 037, error = 0.005346, current_knob = 0.000200, set_point = 0.020000
frame = 038, error = 0.006323, current_knob = 0.000200, set_point = 0.020000
frame = 039, error = 0.006649, current_knob = 0.000200, set_point = 0.020000
frame = 040, error = 0.014816, current_knob = 0.000200, set_point = 0.020000
frame = 041, error = 0.008986, current_knob = 0.000200, set_point = 0.020000
frame = 042, error = 0.004981, current_knob = 0.000200, set_point = 0.020000
frame = 043, error = 0.006214, current_knob = 0.000200, set_point = 0.020000
frame = 044, error = 0.006067, current_knob = 0.000200, set_point = 0.020000
frame = 045, error = 0.005761, current_knob = 0.000200, set_point = 0.020000
frame = 046, error = 0.006599, current_knob = 0.000200, set_point = 0.020000
frame = 047, error = 0.005780, current_knob = 0.000200, set_point = 0.020000
frame = 048, error = 0.008276, current_knob = 0.000200, set_point = 0.020000
frame = 049, error = 0.009174, current_knob = 0.000200, set_point = 0.020000
frame = 050, error = 0.011433, current_knob = 0.000200, set_point = 0.020000
frame = 051, error = 0.008286, current_knob = 0.000200, set_point = 0.020000
frame = 052, error = 0.018022, current_knob = 0.000200, set_point = 0.020000
frame = 053, error = 0.008000, current_knob = 0.000200, set_point = 0.020000
frame = 054, error = 0.012843, current_knob = 0.000200, set_point = 0.020000
frame = 055, error = 0.046244, current_knob = 0.000200, set_point = 0.020000
frame = 056, error = 0.014086, current_knob = 0.000200, set_point = 0.020000
frame = 057, error = 0.018081, current_knob = 0.000200, set_point = 0.020000
frame = 058, error = 0.021484, current_knob = 0.000200, set_point = 0.020000
frame = 059, error = 0.018930, current_knob = 0.000200, set_point = 0.020000
frame = 060, error = 0.017637, current_knob = 0.000200, set_point = 0.020000
frame = 061, error = 0.023349, current_knob = 0.000200, set_point = 0.020000
frame = 062, error = 0.051511, current_knob = 0.000200, set_point = 0.020000
frame = 063, error = 0.018890, current_knob = 0.000200, set_point = 0.020000
frame = 064, error = 0.019610, current_knob = 0.000200, set_point = 0.020000
frame = 065, error = 0.017558, current_knob = 0.000200, set_point = 0.020000
frame = 066, error = 0.017687, current_knob = 0.000200, set_point = 0.020000
frame = 067, error = 0.019403, current_knob = 0.000200, set_point = 0.020000
frame = 068, error = 0.016523, current_knob = 0.000200, set_point = 0.020000
frame = 069, error = 0.037139, current_knob = 0.000200, set_point = 0.020000
frame = 070, error = 0.009805, current_knob = 0.000200, set_point = 0.020000
frame = 071, error = 0.008306, current_knob = 0.000200, set_point = 0.020000
frame = 072, error = 0.012074, current_knob = 0.000200, set_point = 0.020000
frame = 073, error = 0.024069, current_knob = 0.000200, set_point = 0.020000
frame = 074, error = 0.005011, current_knob = 0.000200, set_point = 0.020000
frame = 075, error = 0.003334, current_knob = 0.000200, set_point = 0.020000
frame = 076, error = 0.004745, current_knob = 0.000200, set_point = 0.020000
frame = 077, error = 0.007595, current_knob = 0.000200, set_point = 0.020000
frame = 078, error = 0.010959, current_knob = 0.000200, set_point = 0.020000
frame = 079, error = 0.011867, current_knob = 0.000200, set_point = 0.020000
frame = 080, error = 0.012508, current_knob = 0.000200, set_point = 0.020000
frame = 081, error = 0.011038, current_knob = 0.000200, set_point = 0.020000
frame = 082, error = 0.010752, current_knob = 0.000200, set_point = 0.020000
frame = 083, error = 0.008542, current_knob = 0.000200, set_point = 0.020000
frame = 084, error = 0.011847, current_knob = 0.000200, set_point = 0.020000
frame = 085, error = 0.012932, current_knob = 0.000200, set_point = 0.020000
frame = 086, error = 0.013238, current_knob = 0.000200, set_point = 0.020000
frame = 087, error = 0.012005, current_knob = 0.000200, set_point = 0.020000
frame = 088, error = 0.011423, current_knob = 0.000200, set_point = 0.020000
frame = 089, error = 0.013110, current_knob = 0.000200, set_point = 0.020000
frame = 090, error = 0.010160, current_knob = 0.000200, set_point = 0.020000
frame = 091, error = 0.012616, current_knob = 0.000200, set_point = 0.020000
frame = 092, error = 0.010841, current_knob = 0.000200, set_point = 0.020000
frame = 093, error = 0.010969, current_knob = 0.000200, set_point = 0.020000
frame = 094, error = 0.021327, current_knob = 0.000200, set_point = 0.020000
frame = 095, error = 0.012015, current_knob = 0.000200, set_point = 0.020000
frame = 096, error = 0.011235, current_knob = 0.000200, set_point = 0.020000
frame = 097, error = 0.011403, current_knob = 0.000200, set_point = 0.020000
frame = 098, error = 0.011009, current_knob = 0.000200, set_point = 0.020000
frame = 099, error = 0.008661, current_knob = 0.000200, set_point = 0.020000
frame = 100, error = 0.021287, current_knob = 0.000200, set_point = 0.002000
