frame = 001, error = 0.002782, current_knob = 0.000025, set_point = 0.020000
frame = 002, error = 0.001785, current_knob = 0.000025, set_point = 0.020000
frame = 003, error = 0.002703, current_knob = 0.000025, set_point = 0.020000
frame = 004, error = 0.002614, current_knob = 0.000025, set_point = 0.020000
frame = 005, error = 0.002496, current_knob = 0.000025, set_point = 0.020000
frame = 006, error = 0.001785, current_knob = 0.000025, set_point = 0.020000
frame = 007, error = 0.002062, current_knob = 0.000025, set_point = 0.020000
frame = 008, error = 0.000750, current_knob = 0.000025, set_point = 0.020000
frame = 009, error = 0.000690, current_knob = 0.000025, set_point = 0.020000
frame = 010, error = 0.001272, current_knob = 0.000025, set_point = 0.020000
frame = 011, error = 0.003107, current_knob = 0.000025, set_point = 0.020000
frame = 012, error = 0.001904, current_knob = 0.000025, set_point = 0.020000
frame = 013, error = 0.001894, current_knob = 0.000025, set_point = 0.020000
frame = 014, error = 0.001430, current_knob = 0.000025, set_point = 0.020000
frame = 015, error = 0.001134, current_knob = 0.000025, set_point = 0.020000
frame = 016, error = 0.002012, current_knob = 0.000025, set_point = 0.020000
frame = 017, error = 0.002545, current_knob = 0.000025, set_point = 0.020000
frame = 018, error = 0.002012, current_knob = 0.000025, set_point = 0.020000
frame = 019, error = 0.001529, current_knob = 0.000025, set_point = 0.020000
frame = 020, error = 0.001904, current_knob = 0.000025, set_point = 0.020000
frame = 021, error = 0.001568, current_knob = 0.000025, set_point = 0.020000
frame = 022, error = 0.001874, current_knob = 0.000025, set_point = 0.020000
frame = 023, error = 0.003295, current_knob = 0.000025, set_point = 0.020000
frame = 024, error = 0.002328, current_knob = 0.000025, set_point = 0.020000
frame = 025, error = 0.003275, current_knob = 0.000025, set_point = 0.020000
frame = 026, error = 0.002949, current_knob = 0.000025, set_point = 0.020000
frame = 027, error = 0.004133, current_knob = 0.000025, set_point = 0.020000
frame = 028, error = 0.001943, current_knob = 0.000025, set_point = 0.020000
frame = 029, error = 0.002634, current_knob = 0.000025, set_point = 0.020000
frame = 030, error = 0.003117, current_knob = 0.000025, set_point = 0.020000
frame = 031, error = 0.001361, current_knob = 0.000025, set_point = 0.020000
frame = 032, error = 0.003058, current_knob = 0.000025, set_point = 0.020000
frame = 033, error = 0.001282, current_knob = 0.000025, set_point = 0.020000
frame = 034, error = 0.001085, current_knob = 0.000025, set_point = 0.020000
frame = 035, error = 0.001174, current_knob = 0.000025, set_point = 0.020000
frame = 036, error = 0.000690, current_knob = 0.000025, set_point = 0.020000
frame = 037, error = 0.000612, current_knob = 0.000025, set_point = 0.020000
frame = 038, error = 0.000927, current_knob = 0.000025, set_point = 0.020000
frame = 039, error = 0.000326, current_knob = 0.000025, set_point = 0.020000
frame = 040, error = 0.000572, current_knob = 0.000025, set_point = 0.020000
frame = 041, error = 0.000700, current_knob = 0.000025, set_point = 0.020000
frame = 042, error = 0.000829, current_knob = 0.000025, set_point = 0.020000
frame = 043, error = 0.001105, current_knob = 0.000025, set_point = 0.020000
frame = 044, error = 0.000957, current_knob = 0.000025, set_point = 0.020000
frame = 045, error = 0.000543, current_knob = 0.000025, set_point = 0.020000
frame = 046, error = 0.000641, current_knob = 0.000025, set_point = 0.020000
frame = 047, error = 0.000917, current_knob = 0.000025, set_point = 0.020000
frame = 048, error = 0.000700, current_knob = 0.000025, set_point = 0.020000
frame = 049, error = 0.000809, current_knob = 0.000025, set_point = 0.020000
frame = 050, error = 0.003808, current_knob = 0.000025, set_point = 0.020000
frame = 051, error = 0.000464, current_knob = 0.000025, set_point = 0.020000
frame = 052, error = 0.001263, current_knob = 0.000025, set_point = 0.020000
frame = 053, error = 0.001184, current_knob = 0.000025, set_point = 0.020000
frame = 054, error = 0.001785, current_knob = 0.000025, set_point = 0.020000
frame = 055, error = 0.000858, current_knob = 0.000025, set_point = 0.020000
frame = 056, error = 0.001736, current_knob = 0.000025, set_point = 0.020000
frame = 057, error = 0.002269, current_knob = 0.000025, set_point = 0.020000
frame = 058, error = 0.002614, current_knob = 0.000025, set_point = 0.020000
frame = 059, error = 0.004498, current_knob = 0.000025, set_point = 0.020000
frame = 060, error = 0.001854, current_knob = 0.000025, set_point = 0.020000
frame = 061, error = 0.001983, current_knob = 0.000025, set_point = 0.020000
frame = 062, error = 0.002979, current_knob = 0.000025, set_point = 0.020000
frame = 063, error = 0.002377, current_knob = 0.000025, set_point = 0.020000
frame = 064, error = 0.002644, current_knob = 0.000025, set_point = 0.020000
frame = 065, error = 0.002121, current_knob = 0.000025, set_point = 0.020000
frame = 066, error = 0.002071, current_knob = 0.000025, set_point = 0.020000
frame = 067, error = 0.001795, current_knob = 0.000025, set_point = 0.020000
frame = 068, error = 0.002377, current_knob = 0.000025, set_point = 0.020000
frame = 069, error = 0.001194, current_knob = 0.000025, set_point = 0.020000
frame = 070, error = 0.001391, current_knob = 0.000025, set_point = 0.020000
frame = 071, error = 0.001430, current_knob = 0.000025, set_point = 0.020000
frame = 072, error = 0.002289, current_knob = 0.000025, set_point = 0.020000
frame = 073, error = 0.001430, current_knob = 0.000025, set_point = 0.020000
frame = 074, error = 0.000750, current_knob = 0.000025, set_point = 0.020000
frame = 075, error = 0.000523, current_knob = 0.000025, set_point = 0.020000
frame = 076, error = 0.000326, current_knob = 0.000025, set_point = 0.020000
frame = 077, error = 0.000355, current_knob = 0.000025, set_point = 0.020000
frame = 078, error = 0.001134, current_knob = 0.000025, set_point = 0.020000
frame = 079, error = 0.001253, current_knob = 0.000025, set_point = 0.020000
frame = 080, error = 0.001430, current_knob = 0.000025, set_point = 0.020000
frame = 081, error = 0.001105, current_knob = 0.000025, set_point = 0.020000
frame = 082, error = 0.001470, current_knob = 0.000025, set_point = 0.020000
frame = 083, error = 0.001006, current_knob = 0.000025, set_point = 0.020000
