frame = 001, error = 0.003679, current_knob = 0.000050, set_point = 0.020000
frame = 002, error = 0.011709, current_knob = 0.000050, set_point = 0.020000
frame = 003, error = 0.007408, current_knob = 0.000050, set_point = 0.020000
frame = 004, error = 0.005070, current_knob = 0.000050, set_point = 0.020000
frame = 005, error = 0.005928, current_knob = 0.000050, set_point = 0.020000
frame = 006, error = 0.006333, current_knob = 0.000050, set_point = 0.020000
frame = 007, error = 0.004528, current_knob = 0.000050, set_point = 0.020000
frame = 008, error = 0.002052, current_knob = 0.000050, set_point = 0.020000
frame = 009, error = 0.002121, current_knob = 0.000050, set_point = 0.020000
frame = 010, error = 0.002999, current_knob = 0.000050, set_point = 0.020000
frame = 011, error = 0.002979, current_knob = 0.000050, set_point = 0.020000
frame = 012, error = 0.003591, current_knob = 0.000050, set_point = 0.020000
frame = 013, error = 0.002456, current_knob = 0.000050, set_point = 0.020000
frame = 014, error = 0.007063, current_knob = 0.000050, set_point = 0.020000
frame = 015, error = 0.002831, current_knob = 0.000050, set_point = 0.020000
frame = 016, error = 0.004686, current_knob = 0.000050, set_point = 0.020000
frame = 017, error = 0.003561, current_knob = 0.000050, set_point = 0.020000
frame = 018, error = 0.005277, current_knob = 0.000050, set_point = 0.020000
frame = 019, error = 0.003502, current_knob = 0.000050, set_point = 0.020000
frame = 020, error = 0.003719, current_knob = 0.000050, set_point = 0.020000
frame = 021, error = 0.005366, current_knob = 0.000050, set_point = 0.020000
frame = 022, error = 0.004399, current_knob = 0.000050, set_point = 0.020000
frame = 023, error = 0.005889, current_knob = 0.000050, set_point = 0.020000
frame = 024, error = 0.007625, current_knob = 0.000050, set_point = 0.020000
frame = 025, error = 0.004064, current_knob = 0.000050, set_point = 0.020000
frame = 026, error = 0.006185, current_knob = 0.000050, set_point = 0.020000
frame = 027, error = 0.005346, current_knob = 0.000050, set_point = 0.020000
frame = 028, error = 0.007339, current_knob = 0.000050, set_point = 0.020000
frame = 029, error = 0.005485, current_knob = 0.000050, set_point = 0.020000
frame = 030, error = 0.007507, current_knob = 0.000050, set_point = 0.020000
frame = 031, error = 0.005850, current_knob = 0.000050, set_point = 0.020000
frame = 032, error = 0.006925, current_knob = 0.000050, set_point = 0.020000
frame = 033, error = 0.003679, current_knob = 0.000050, set_point = 0.020000
frame = 034, error = 0.003147, current_knob = 0.000050, set_point = 0.020000
frame = 035, error = 0.002338, current_knob = 0.000050, set_point = 0.020000
frame = 036, error = 0.002249, current_knob = 0.000050, set_point = 0.020000
frame = 037, error = 0.000740, current_knob = 0.000050, set_point = 0.020000
frame = 038, error = 0.000977, current_knob = 0.000050, set_point = 0.020000
frame = 039, error = 0.001381, current_knob = 0.000050, set_point = 0.020000
frame = 040, error = 0.001450, current_knob = 0.000050, set_point = 0.020000
frame = 041, error = 0.001055, current_knob = 0.000050, set_point = 0.020000
frame = 042, error = 0.000829, current_knob = 0.000050, set_point = 0.020000
frame = 043, error = 0.001194, current_knob = 0.000050, set_point = 0.020000
frame = 044, error = 0.002298, current_knob = 0.000050, set_point = 0.020000
frame = 045, error = 0.001568, current_knob = 0.000050, set_point = 0.020000
frame = 046, error = 0.001134, current_knob = 0.000050, set_point = 0.020000
frame = 047, error = 0.001440, current_knob = 0.000050, set_point = 0.020000
frame = 048, error = 0.001795, current_knob = 0.000050, set_point = 0.020000
frame = 049, error = 0.003058, current_knob = 0.000050, set_point = 0.020000
frame = 050, error = 0.002210, current_knob = 0.000050, set_point = 0.020000
frame = 051, error = 0.000898, current_knob = 0.000050, set_point = 0.020000
frame = 052, error = 0.001194, current_knob = 0.000050, set_point = 0.020000
frame = 053, error = 0.002002, current_knob = 0.000050, set_point = 0.020000
frame = 054, error = 0.002259, current_knob = 0.000050, set_point = 0.020000
frame = 055, error = 0.003186, current_knob = 0.000050, set_point = 0.020000
frame = 056, error = 0.004824, current_knob = 0.000050, set_point = 0.020000
frame = 057, error = 0.004686, current_knob = 0.000050, set_point = 0.020000
frame = 058, error = 0.004577, current_knob = 0.000050, set_point = 0.020000
frame = 059, error = 0.005060, current_knob = 0.000050, set_point = 0.020000
frame = 060, error = 0.003857, current_knob = 0.000050, set_point = 0.020000
frame = 061, error = 0.004883, current_knob = 0.000050, set_point = 0.020000
frame = 062, error = 0.005090, current_knob = 0.000050, set_point = 0.020000
frame = 063, error = 0.005189, current_knob = 0.000050, set_point = 0.020000
frame = 064, error = 0.004419, current_knob = 0.000050, set_point = 0.020000
frame = 065, error = 0.003344, current_knob = 0.000050, set_point = 0.020000
frame = 066, error = 0.003640, current_knob = 0.000050, set_point = 0.020000
frame = 067, error = 0.004952, current_knob = 0.000050, set_point = 0.020000
frame = 068, error = 0.003610, current_knob = 0.000050, set_point = 0.020000
frame = 069, error = 0.001795, current_knob = 0.000050, set_point = 0.020000
frame = 070, error = 0.002456, current_knob = 0.000050, set_point = 0.020000
frame = 071, error = 0.002397, current_knob = 0.000050, set_point = 0.020000
frame = 072, error = 0.003186, current_knob = 0.000050, set_point = 0.020000
frame = 073, error = 0.001835, current_knob = 0.000050, set_point = 0.020000
frame = 074, error = 0.001440, current_knob = 0.000050, set_point = 0.020000
frame = 075, error = 0.001667, current_knob = 0.000050, set_point = 0.020000
frame = 076, error = 0.001065, current_knob = 0.000050, set_point = 0.020000
frame = 077, error = 0.000947, current_knob = 0.000050, set_point = 0.020000
frame = 078, error = 0.002515, current_knob = 0.000050, set_point = 0.020000
frame = 079, error = 0.002801, current_knob = 0.000050, set_point = 0.020000
frame = 080, error = 0.002298, current_knob = 0.000050, set_point = 0.020000
frame = 081, error = 0.002486, current_knob = 0.000050, set_point = 0.020000
frame = 082, error = 0.002801, current_knob = 0.000050, set_point = 0.020000
frame = 083, error = 0.002407, current_knob = 0.000050, set_point = 0.020000
frame = 084, error = 0.002752, current_knob = 0.000050, set_point = 0.020000
frame = 085, error = 0.002584, current_knob = 0.000050, set_point = 0.020000
frame = 086, error = 0.002525, current_knob = 0.000050, set_point = 0.020000
frame = 087, error = 0.003265, current_knob = 0.000050, set_point = 0.020000
frame = 088, error = 0.001785, current_knob = 0.000050, set_point = 0.020000
frame = 089, error = 0.002713, current_knob = 0.000050, set_point = 0.020000
frame = 090, error = 0.002545, current_knob = 0.000050, set_point = 0.020000
frame = 091, error = 0.004242, current_knob = 0.000050, set_point = 0.020000
frame = 092, error = 0.003512, current_knob = 0.000050, set_point = 0.020000
frame = 093, error = 0.002634, current_knob = 0.000050, set_point = 0.020000
frame = 094, error = 0.002821, current_knob = 0.000050, set_point = 0.020000
frame = 095, error = 0.002407, current_knob = 0.000050, set_point = 0.020000
frame = 096, error = 0.007674, current_knob = 0.000050, set_point = 0.020000
frame = 097, error = 0.002910, current_knob = 0.000050, set_point = 0.020000
frame = 098, error = 0.004577, current_knob = 0.000050, set_point = 0.020000
frame = 099, error = 0.002525, current_knob = 0.000050, set_point = 0.020000
frame = 100, error = 0.002851, current_knob = 0.000050, set_point = 0.002000
