frame = 001, error = 0.023625, current_knob = 0.000250, set_point = 0.020000
frame = 002, error = 0.021899, current_knob = 0.000250, set_point = 0.020000
frame = 003, error = 0.027442, current_knob = 0.000250, set_point = 0.020000
frame = 004, error = 0.025805, current_knob = 0.000250, set_point = 0.020000
frame = 005, error = 0.023112, current_knob = 0.000250, set_point = 0.020000
frame = 006, error = 0.023003, current_knob = 0.000250, set_point = 0.020000
frame = 007, error = 0.021100, current_knob = 0.000250, set_point = 0.020000
frame = 008, error = 0.012597, current_knob = 0.000250, set_point = 0.020000
frame = 009, error = 0.013800, current_knob = 0.000250, set_point = 0.020000
frame = 010, error = 0.013968, current_knob = 0.000250, set_point = 0.020000
frame = 011, error = 0.013672, current_knob = 0.000250, set_point = 0.020000
frame = 012, error = 0.014974, current_knob = 0.000250, set_point = 0.020000
frame = 013, error = 0.014717, current_knob = 0.000250, set_point = 0.020000
frame = 014, error = 0.016838, current_knob = 0.000250, set_point = 0.020000
frame = 015, error = 0.022757, current_knob = 0.000250, set_point = 0.020000
frame = 016, error = 0.018841, current_knob = 0.000250, set_point = 0.020000
frame = 017, error = 0.019147, current_knob = 0.000250, set_point = 0.020000
frame = 018, error = 0.024266, current_knob = 0.000250, set_point = 0.020000
frame = 019, error = 0.018584, current_knob = 0.000250, set_point = 0.020000
frame = 020, error = 0.018209, current_knob = 0.000250, set_point = 0.020000
frame = 021, error = 0.027294, current_knob = 0.000250, set_point = 0.020000
frame = 022, error = 0.024286, current_knob = 0.000250, set_point = 0.020000
frame = 023, error = 0.025825, current_knob = 0.000250, set_point = 0.020000
frame = 024, error = 0.024878, current_knob = 0.000250, set_point = 0.020000
frame = 025, error = 0.025815, current_knob = 0.000250, set_point = 0.020000
frame = 026, error = 0.030086, current_knob = 0.000250, set_point = 0.020000
frame = 027, error = 0.024039, current_knob = 0.000250, set_point = 0.020000
frame = 028, error = 0.023684, current_knob = 0.000250, set_point = 0.020000
frame = 029, error = 0.026347, current_knob = 0.000250, set_point = 0.020000
