Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,   34523776, 0,0.00,35.507, 34.594, 34.602, 35.279,27,  -, -, 0.00%,  0.00%,  0.00%, 0.26%,  1.07%,  6.20%, 0.44%,  0.72%, 11.80%, 1.54%,  1.44%, 32.93%,43.60%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 87577.67, 49565.80, 0.00, 20516079.11 , 0, 255, 66.06, 0, 255, 69.44, 0, 255, 64.48, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.53%, 0.00%,0.00%, 3.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 44262.0, 101.2, 321264.1, 302126.6, 0.0, 0.0, 364830.5, 1.000, 0
1, i-SLICE,    1, 29.00,   40606096, 1,1.02,35.944, 34.847, 34.893, 35.675,27,  -, -, 0.00%,  0.00%,  0.00%, 0.02%,  0.10%,  0.63%, 0.11%,  0.16%,  2.36%, 1.89%,  1.99%, 28.67%,64.07%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 79364.88, 46933.64, 0.00, 23593799.65 , 0, 255, 67.50, 0, 255, 86.92, 0, 255, 82.58, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.26%, 0.00%,0.00%, 7.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 14311.1, 16.7, 350177.4, 328565.4, 0.0, 0.0, 727670.9, 1.000, 0
2, P-SLICE,    2, 32.00,   25880352, 0,1.01,30.448, 30.642, 30.634, 30.495,27, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.13%,  0.23%, 0.17%,  0.63%,  3.11%, 0.78%,  2.00%, 17.96%, 0.00%,  0.00%,  0.35%,  8.18%, 66.44%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 268088.40, 129317.85, 0.00, 8588333.32 , 0, 255, 66.11, 0, 255, 69.63, 0, 255, 64.54, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.57%, 0.00%,0.00%, 15.05%, 33.39%, 0.00%, 0.00%, 0.00%, 0.00%, 31.59%, 0.00%,0.00%, 27.73%, 40.68%, 0.00%, 0.00%, 0.00%, 0.00%, 23.79%, 0.01%,0.00%, 32.90%, 43.31%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 178876.9, 1195.4, 1826399.2, 1776439.7, 0.0, 0.0, 2732596.9, 1.000, 0
3, P-SLICE,    7, 32.00,   35744632, 0,1.03,30.449, 31.140, 31.130, 30.621,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.23%,  0.29%, 0.11%,  0.56%,  2.02%, 2.35%,  6.40%, 46.90%, 0.00%,  0.00%,  0.15%,  1.85%, 39.12%,  0.00%,  0.00%,  0.00%,  0.01%,  0.00%,  0.00%,  0.00%,  0.00%, 302314.93, 125114.14, 0.00, 19181468.91 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.24%, 0.00%,0.00%, 12.26%, 9.50%, 0.00%, 0.00%, 0.00%, 0.00%, 56.35%, 0.00%,0.00%, 25.41%, 18.24%, 0.00%, 0.00%, 0.00%, 0.00%, 58.71%, 0.01%,0.00%, 21.46%, 19.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10019.0, 1088.1, 3154083.6, 3076072.5, 0.0, 0.0, 5890122.3, 1.000, 0
4, B-SLICE,    5, 33.00,     422192, 0,1.03,31.417, 32.007, 32.088, 31.575,26, 2 1 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%, 48.24%, 26.70%,  0.81%,  0.00%,  0.09%,  0.29%,  0.02%,  0.00%,  3.85%, 18.66%,  1.34%, 218167.65, 95311.27, 0.00, 238914.34 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.54%,0.00%, 3.27%, 89.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.86%,0.00%, 4.88%, 55.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.68%,0.00%, 0.72%, 36.59%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 551.8, 14.6, 1874649.8, 1836220.4, 0.0, 0.0, 7768375.1, 1.000, 0
5, b-SLICE,    3, 34.00,   31003736, 0,1.02,28.606, 29.466, 29.403, 28.813,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.56%,  3.64%, 95.74%,  0.00%,  0.00%,  0.00%,  0.03%,  0.00%,  0.00%,  0.00%,  0.03%, 441819.03, 198777.98, 0.00, 12533524.11 , 0, 255, 68.02, 0, 255, 86.87, 0, 255, 81.47, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 61.45%, 38.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 69.02%, 30.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.06%,0.00%, 64.09%, 35.85%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 338.6, 13.3, 4648162.4, 4536002.5, 0.0, 0.0, 12419990.9, 1.000, 0
6, b-SLICE,    4, 34.00,   23551136, 0,1.01,28.604, 28.760, 28.759, 28.643,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  1.42%,  9.68%, 88.89%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 404151.50, 207858.89, 0.00, 6633654.98 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 36.36%, 63.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 41.45%, 58.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 52.08%, 47.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 52.37%, 47.63%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.3, 3.6, 3580812.4, 3497366.8, 0.0, 0.0, 15999268.1, 1.000, 0
7, b-SLICE,    6, 34.00,   23559528, 0,1.01,28.593, 28.763, 28.753, 28.634,28, 5 2 1 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.47%,  9.86%, 88.67%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 404635.98, 207736.06, 0.00, 6675380.68 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 41.90%, 58.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 51.10%, 48.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 51.44%, 48.55%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.2, 2.4, 3558406.4, 3474628.9, 0.0, 0.0, 19554595.7, 1.000, 0
8, P-SLICE,   10, 32.00,   27286528, 0,1.01,30.391, 30.690, 30.653, 30.461,25, 7 5 2 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.36%,  1.07%, 0.26%,  1.20%,  7.23%, 0.96%,  2.36%, 25.59%, 0.00%,  0.00%,  0.41%,  7.43%, 53.08%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 277251.56, 128134.27, 0.00, 10913384.49 , 0, 255, 65.98, 0, 255, 69.23, 0, 255, 63.56, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.29%, 0.00%,0.00%, 7.38%, 14.33%, 0.00%, 0.00%, 0.00%, 0.00%, 52.84%, 0.00%,0.00%, 22.62%, 24.54%, 0.00%, 0.00%, 0.00%, 0.00%, 35.26%, 0.00%,0.00%, 31.16%, 33.58%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 48551.4, 1059.2, 2495734.7, 2437019.5, 0.0, 0.0, 22093805.9, 1.000, 0
9, B-SLICE,    9, 33.00,   33713248, 0,1.02,29.467, 30.277, 30.237, 29.665,27, 7 5 2 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.94%,  4.85%, 94.17%,  0.00%,  0.00%,  0.00%,  0.02%,  0.00%,  0.00%,  0.00%,  0.01%, 370787.31, 167522.99, 0.00, 13783681.51 , 0, 255, 68.75, 0, 255, 86.78, 0, 255, 80.32, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 56.75%, 43.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 62.43%, 37.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%,0.00%, 58.82%, 41.14%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 4.4, 3.3, 4530090.9, 4415299.9, 0.0, 0.0, 26625467.0, 1.000, 0
